Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2025-01-22,223.584167,223.873842,219.548596,219.548596,64126500
2025-01-23,223.414368,226.780662,222.055861,224.493183,60234800
2025-01-24,222.535324,225.382200,221.166834,224.533128,54697900
2025-01-27,229.607544,231.895022,223.733997,223.773962,94863400
2025-01-28,237.998322,239.926210,230.556507,230.596471,75707600
2025-01-29,239.097122,239.596573,233.752992,233.862872,45486100
2025-01-30,237.329056,240.525538,236.949483,238.407871,55658300
2025-01-31,235.740814,246.918527,233.183628,246.918527,101075100
2025-02-03,227.759583,231.575395,225.452122,229.737419,73063300
2025-02-04,232.544327,232.873966,226.401072,227.000419,45067300
2025-02-05,232.214691,232.414468,228.019307,228.279016,39620300
2025-02-06,232.963867,233.543232,230.176923,231.035979,29925300
2025-02-07,227.380005,233.743004,227.010401,232.344548,39707200
2025-02-10,227.649994,230.589996,227.199997,229.570007,33115600
2025-02-11,232.619995,235.229996,228.130005,228.199997,53718400
2025-02-12,236.869995,236.960007,230.679993,231.199997,45243300
2025-02-13,241.529999,242.339996,235.570007,236.910004,53614100
2025-02-14,244.600006,245.550003,240.990005,241.250000,40896200
2025-02-18,244.470001,245.179993,241.839996,244.149994,48822500
2025-02-19,244.869995,246.009995,243.160004,244.660004,32204200
2025-02-20,245.830002,246.779999,244.289993,244.940002,32316900
2025-02-21,245.550003,248.690002,245.220001,245.949997,53119400
