Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2025-01-22,200.029999,202.119995,199.199997,200.550003,15477400
2025-01-23,199.580002,201.940002,196.820007,199.979996,15170800
2025-01-24,201.899994,202.570007,199.783997,199.850006,12732400
2025-01-27,193.770004,198.669998,192.699997,194.190002,24970200
2025-01-28,197.070007,197.229996,192.610001,194.649994,15939200
2025-01-29,197.179993,198.460007,195.190002,197.369995,12287800
2025-01-30,202.630005,203.238007,199.472000,199.759995,14571500
2025-01-31,205.600006,207.080002,203.580002,203.714996,17087300
2025-02-03,202.639999,205.220001,201.660004,202.214996,16719500
2025-02-04,207.710007,208.699997,204.259995,204.500000,28285400
2025-02-05,193.300003,194.550003,189.910004,193.100006,43666400
2025-02-06,193.309998,193.830002,190.490005,190.990005,20816600
2025-02-07,187.139999,193.014999,185.100006,192.740005,29565700
2025-02-10,188.199997,189.990005,187.610001,189.059998,16606000
2025-02-11,187.070007,188.800003,186.080002,186.835007,13028100
2025-02-12,185.429993,186.830002,183.630005,185.229996,17632300
2025-02-13,187.880005,187.990005,184.880005,185.929993,12729300
2025-02-14,186.869995,188.149994,186.110001,186.830002,12714200
2025-02-18,185.800003,187.779999,183.580002,187.440002,19796000
2025-02-19,187.130005,187.360001,185.500000,186.184998,13120500
2025-02-20,186.639999,187.119995,184.600006,186.500000,12063800
2025-02-21,181.580002,187.470001,181.130005,187.289993,19450700
