Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,
2025-01-22,415.109985,428.000000,414.589996,416.809998,60963300
2025-01-23,412.380005,420.730011,408.950012,416.059998,50690600
2025-01-24,406.579987,418.880005,405.779999,414.450012,56427100
2025-01-27,397.149994,406.690002,389.000000,394.799988,58125500
2025-01-28,398.089996,400.589996,386.500000,396.910004,48910700
2025-01-29,389.100006,398.589996,384.480011,395.209991,68033600
2025-01-30,400.279999,412.500000,384.410004,410.779999,98092900
2025-01-31,404.600006,419.989990,401.339996,401.529999,83568200
2025-02-03,383.679993,389.170013,374.359985,386.679993,93732100
2025-02-04,392.209991,394.000000,381.399994,382.630005,57072200
2025-02-05,378.170013,388.390015,375.529999,387.510010,57223300
2025-02-06,374.320007,375.399994,363.179993,373.029999,77918200
2025-02-07,361.619995,380.549988,360.339996,370.190002,70298300
2025-02-10,350.730011,362.700012,350.510010,356.209991,77514900
2025-02-11,328.500000,349.369995,325.100006,345.799988,118543400
2025-02-12,336.510010,346.399994,329.119995,329.940002,105382700
2025-02-13,355.940002,358.690002,342.850006,345.000000,89441500
2025-02-14,355.839996,362.000000,347.500000,360.619995,68277300
2025-02-18,354.109985,359.100006,350.019989,355.010010,51631700
2025-02-19,360.559998,367.339996,353.670013,354.000000,67094400
2025-02-20,354.399994,362.299988,348.000000,361.510010,45965400
2025-02-21,337.799988,354.980011,334.420013,353.440002,73787800
